t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208942734e-02,3.139973449e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.377243e-02
0.050000,7.847584802e-04,1.439558229e-03,1.203206567e-02,7.197790534e-04,3.221149144e-04,2.907344627e-01,3.207565087e+01,7.736002133e-05,1.249530784e+00,1.111022e-15,1.570051e-18,6.776264e-20,1.312099e-02
0.100000,3.143317367e-04,8.056730185e-04,1.131133221e-02,4.028364999e-04,1.436916610e-04,3.254848315e-01,3.232462233e+01,6.543651447e-05,1.214775836e-01,1.112706e-15,7.239278e-19,4.285685e-20,8.689819e-03
0.150000,1.334137048e-04,5.547758949e-04,4.071441833e-03,2.773879463e-04,1.049838923e-04,2.613125971e-01,3.175625402e+01,8.992044821e-06,7.420794912e-02,1.332891e-15,2.020989e-18,1.554946e-19,8.824179e-03
0.200000,8.868717055e-05,4.280261385e-04,2.341404464e-03,2.140130715e-04,1.027697299e-04,2.468117292e-01,3.158936741e+01,3.191993129e-06,2.086153871e-02,1.779722e-15,4.495786e-18,1.602326e-19,1.401808e-02
0.250000,7.850152782e-05,3.358188003e-04,1.791624313e-03,1.679094037e-04,1.068404423e-04,2.369064037e-01,3.153767336e+01,1.921826423e-06,8.543810270e-03,1.332559e-15,2.020464e-18,1.615238e-19,8.729930e-03
0.300000,7.829114123e-05,2.643695234e-04,1.451826957e-03,1.321847700e-04,1.129194283e-04,2.261921450e-01,3.151682613e+01,1.295689642e-06,5.748222184e-03,2.221451e-15,3.721336e-18,1.769812e-19,1.276778e-02
0.350000,8.210474002e-05,2.100090849e-04,1.186943148e-03,1.050045489e-04,1.194268224e-04,2.140120846e-01,3.150451673e+01,9.067267884e-07,4.786517718e-03,1.332284e-15,4.570026e-18,1.114545e-18,8.839580e-03
0.400000,8.750688772e-05,1.708370971e-04,9.723696149e-04,8.541856128e-05,1.255877774e-04,2.003802922e-01,3.149425885e+01,6.573002975e-07,4.210793488e-03,2.220819e-15,7.574380e-18,5.424742e-19,1.275397e-02
0.450000,9.319114014e-05,1.453842054e-04,7.974475275e-04,7.269211522e-05,1.310732605e-04,1.854473627e-01,3.148420051e+01,4.976760255e-07,3.789756518e-03,1.787784e-15,9.610302e-18,8.579046e-19,8.850669e-03
0.500000,9.849457013e-05,1.317872377e-04,6.545640750e-04,6.589363504e-05,1.357880686e-04,1.693960035e-01,3.147387991e+01,3.964700297e-07,3.473077485e-03,2.221882e-15,3.766118e-18,1.751486e-18,8.694859e-03
0.550000,1.031286002e-04,1.273026007e-04,5.377431907e-04,6.365131402e-05,1.397484771e-04,1.524171214e-01,3.146325163e+01,3.332328826e-07,3.237603946e-03,1.776660e-15,8.618474e-18,7.852622e-19,1.155261e-02
0.600000,1.070049346e-04,1.287496476e-04,4.422023079e-04,6.437483538e-05,1.430186881e-04,1.347044588e-01,3.145239397e+01,2.945591572e-07,3.066007990e-03,1.556010e-15,4.018800e-18,3.122424e-19,8.797139e-03
0.650000,1.101349870e-04,1.334055482e-04,3.640681413e-04,6.670278849e-05,1.456795789e-04,1.164547581e-01,3.144141954e+01,2.716472193e-07,2.943874753e-03,2.001613e-15,1.038208e-17,1.726721e-18,9.995502e-03
