t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,2.671085329e-04,8.505406543e-04,1.452283132e-03,4.252703167e-04,1.387105814e-04,5.237471235e-02,3.136502002e+01,2.655326890e-06,0.000000000e+00,2.223899e-15,1.109458e-19,1.556999e-21,1.349958e-02
0.050000,7.993727115e-04,1.528797433e-03,1.670867710e-02,7.643986431e-04,3.450141572e-04,3.014415937e-01,3.214995461e+01,1.452166657e-04,1.705590279e+00,1.785090e-15,5.285486e-19,1.833665e-19,1.056642e-02
0.100000,3.057684232e-04,7.042758777e-04,1.365518602e-02,3.521379341e-04,6.723786170e-05,3.472683670e-01,3.242491695e+01,9.426022905e-05,3.381811550e-01,1.780196e-15,1.522851e-18,7.298259e-20,1.361624e-02
0.150000,1.334413044e-04,5.883442930e-04,8.528974068e-03,2.941721449e-04,5.707763585e-05,2.790309373e-01,3.184839921e+01,3.709006019e-05,3.222694583e-01,1.560626e-15,2.909717e-18,1.437463e-19,9.090000e-03
0.200000,1.310329836e-04,5.061747707e-04,3.444143282e-03,2.530873863e-04,1.029813782e-04,2.673405579e-01,3.146463227e+01,6.528328589e-06,4.226267189e-01,1.780311e-15,6.468770e-18,6.091722e-20,8.917582e-03
0.250000,5.906298842e-05,1.518390012e-04,3.039322848e-03,7.591950826e-05,5.512465088e-05,2.066222853e-01,3.162909296e+01,4.689161678e-06,1.473937523e-01,1.117278e-15,5.265843e-18,1.555315e-19,8.909862e-03
0.300000,8.658129273e-05,2.544732898e-04,1.502607066e-03,1.272366528e-04,1.618744885e-04,2.111056793e-01,3.151520651e+01,1.468054124e-06,1.524974105e-01,1.998470e-15,5.774134e-18,3.124381e-19,1.031544e-02
0.350000,9.853150266e-05,3.478431910e-04,2.625683616e-03,1.739215995e-04,1.087770729e-04,2.057869834e-01,3.163139113e+01,3.783756622e-06,2.721409101e-01,1.789528e-15,4.359642e-18,3.243387e-19,1.394946e-02
0.400000,9.475600846e-05,1.728740451e-04,2.098355148e-03,8.643703093e-05,7.121796056e-05,2.216930040e-01,3.152358091e+01,2.301894029e-06,7.578124654e-02,1.334078e-15,1.913100e-18,3.151247e-19,9.185129e-03
0.450000,8.947054361e-05,3.133409376e-04,4.173281094e-03,1.566704740e-04,1.570173346e-04,1.990648151e-01,3.137710221e+01,9.101738189e-06,3.506157788e-01,1.788258e-15,1.860029e-17,8.488352e-19,9.475754e-03
0.500000,8.413903946e-05,1.369784378e-04,6.654925574e-03,6.848922846e-05,1.498576946e-04,1.675255624e-01,3.172541330e+01,2.236120202e-05,5.323003052e-01,1.333715e-15,4.050310e-18,8.433999e-19,9.305357e-03
0.550000,1.427287560e-04,3.056703162e-04,2.005801877e-03,1.528351655e-04,1.090432730e-04,1.584600123e-01,3.134071560e+01,2.293612771e-06,1.918762956e-01,2.447327e-15,1.263549e-17,3.606613e-19,9.625723e-03
0.600000,1.297418027e-04,1.965155648e-04,1.089207838e-03,9.825779395e-05,1.380547314e-04,8.040484745e-02,3.146555706e+01,8.228964801e-07,1.388962320e-01,2.221343e-15,1.480080e-17,2.985725e-18,9.088060e-03
0.650000,1.047240640e-04,2.809887357e-04,3.162260095e-03,1.404943758e-04,1.598039668e-04,1.662552634e-01,3.152760443e+01,5.362152272e-06,2.564381430e-01,2.449413e-15,2.220114e-17,4.223120e-19,9.031361e-03
0.700000,9.434170873e-05,1.577918513e-04,3.774357037e-03,7.889594010e-05,1.721142861e-04,8.901776255e-02,3.145103632e+01,7.409668697e-06,3.294072350e-01,2.223732e-15,1.363484e-17,1.001057e-18,1.159674e-02
0.750000,1.611502036e-04,2.703058091e-04,2.836886107e-03,1.351529103e-04,1.551126412e-04,8.630219405e-02,3.129724326e+01,4.362571317e-06,2.809646099e-01,1.778266e-15,1.200482e-17,6.711571e-19,1.112907e-02
0.800000,1.411612705e-04,2.008918427e-04,2.697789421e-03,1.004459272e-04,1.553627615e-04,7.674415806e-02,3.133596550e+01,3.912849657e-06,2.444154776e-01,1.116395e-15,4.123207e-18,1.384783e-18,9.197140e-03
